plot,year,range,column,type,rep,treatment,species,accession,date,mean_tgi,median_tgi,q1_tgi,q3_tgi,var_tgi,sd_tgi
5501,2021,55,01,border,,WL,sorghum bicolor,BTx642,07-16-2021,10.986744697499615,6.450000000000003,4.159999999999997,15.180000000000007,116.04343366361951,10.772345782772641
5502,2021,55,02,border,,WL,sorghum bicolor,BTx642,07-16-2021,11.614417011921871,7.3799999999999955,3.2099999999999937,16.960000000000008,127.1187790830555,11.274696407578144
5503,2021,55,03,border,,WL,sorghum bicolor,BTx642,07-16-2021,13.083565876667533,8.670000000000002,2.9399999999999977,19.909999999999997,166.35994386813908,12.89805969392835
5504,2021,55,04,border,,WL,sorghum bicolor,BTx642,07-16-2021,15.685266069401743,11.720000000000013,4.049999999999999,25.86,177.2892742939244,13.315001851067255
5505,2021,55,05,border,,WL,sorghum bicolor,BTx642,07-16-2021,14.093803638727875,9.010000000000005,2.989999999999995,23.299999999999997,179.07646006509418,13.381945301976621
5506,2021,55,06,border,,WL,sorghum bicolor,BTx642,07-16-2021,18.26367071547607,16.710000000000008,4.235000000000001,30.44,202.89596883914973,14.24415560288323
5507,2021,55,07,border,,WL,sorghum bicolor,BTx642,07-16-2021,11.6782881791249,5.160000000000011,2.1000000000000014,18.86,172.40386595182002,13.130265265858874
5508,2021,55,08,border,,WL,sorghum bicolor,BTx642,07-16-2021,16.858941783859112,12.230000000000004,4.5,28.609999999999996,198.193598250929,14.078124813018565
5509,2021,55,09,border,,WL,sorghum bicolor,BTx642,07-16-2021,12.570690765660265,6.059999999999988,2.8900000000000006,20.510000000000005,165.84002989002332,12.877889186121433
5510,2021,55,10,border,,WL,sorghum bicolor,BTx642,07-16-2021,13.267060135029045,7.880000000000003,4.230000000000004,20.099999999999998,146.42849057109458,12.10076404906296
5511,2021,55,11,border,,WL,sorghum bicolor,BTx642,07-16-2021,13.880419859926356,9.299999999999997,4.13000000000001,21.559999999999995,154.31657629639918,12.42242231999859
5512,2021,55,12,border,,WL,sorghum bicolor,BTx642,07-16-2021,17.40066133380064,12.66,4.790000000000006,29.340000000000003,197.44344656006564,14.051457097399744
5513,2021,55,13,border,,WL,sorghum bicolor,BTx642,07-16-2021,18.45873811355593,14.810000000000002,4.859999999999999,30.120000000000005,215.3469872967025,14.674705697106928
5514,2021,55,14,border,,WL,sorghum bicolor,BTx642,07-16-2021,17.441974836483976,12.36999999999999,5.390000000000001,29.22,195.90261308955687,13.996521463905125
5515,2021,55,15,border,,WL,sorghum bicolor,BTx642,07-16-2021,15.675521434706784,9.079999999999998,4.280000000000001,27.0,196.56637831981834,14.020213205219752
5516,2021,55,16,border,,WL,sorghum bicolor,BTx642,07-16-2021,17.704405907585045,14.0,5.739999999999995,29.099999999999994,179.748604559585,13.407035636544903
5517,2021,55,17,border,,WL,sorghum bicolor,BTx642,07-16-2021,15.252756121168288,9.83999999999999,4.109999999999999,25.760000000000005,176.41102809855667,13.281981331810275
5518,2021,55,18,border,,WL,sorghum bicolor,BTx642,07-16-2021,17.014236438943016,12.270000000000003,5.6200000000000045,27.489999999999995,182.91622656632373,13.524652548820754
